arc_length,Points_0,Points_1,Points_2,STA_NL__SIGM_NOEU_0,STA_NL__SIGM_NOEU_1,STA_NL__SIGM_NOEU_2,STA_NL__SIGM_NOEU_3
0,347.676,249.241,1,20.961,466.478,127.435,-58.8073
0.400345,348.076,249.257,1,36.4784,438.703,123.63,-70.0211
0.80069,348.476,249.272,1,51.9958,410.929,119.825,-81.2349
1.20104,348.876,249.287,1,67.5123,383.153,116.02,-92.4479
1.60138,349.276,249.302,1,36.164,330.079,90.6688,-76.6761
2.0017,349.676,249.318,1,47.2307,310.9,88.1669,-74.9736
2.40204,350.076,249.333,1,61.8605,281.97,83.828,-74.5676
2.80239,350.476,249.348,1,71.3162,253.876,78.1974,-68.2952
3.20273,350.876,249.363,1,72.0693,229.463,71.0999,-60.0276
3.60308,351.276,249.379,1,69.9914,217.029,66.755,-55.506
4.00342,351.676,249.394,1,68.0647,205.048,62.589,-51.3112
4.40377,352.076,249.409,1,66.138,193.067,58.4229,-47.1164
4.80411,352.476,249.424,1,63.2105,181.19,53.9963,-42.966
5.20446,352.876,249.44,1,61.0255,169.68,49.8983,-39.3934
5.6048,353.276,249.455,1,61.7969,159.16,46.9652,-37.4758
6.00515,353.676,249.47,1,61.481,149.643,44.0187,-35.6689
6.40546,354.076,249.485,1,59.0571,142.073,41.0464,-34.0765
6.80581,354.476,249.5,1,56.6071,134.349,38.0265,-32.2154
7.20615,354.877,249.516,1,54.1329,126.483,34.9625,-30.1043
7.6065,355.277,249.531,1,52.5905,118.726,32.2003,-28.6629
8.00684,355.677,249.546,1,50.8561,110.992,29.388,-27.2309
8.40719,356.077,249.561,1,48.8309,103.273,26.4971,-25.6223
8.80753,356.477,249.577,1,46.8057,95.5551,23.6063,-24.0137
9.20788,356.877,249.592,1,44.9259,89.0817,21.1331,-23.0327
9.60822,357.277,249.607,1,43.1178,83.2231,18.8662,-22.3617
10.0085,357.677,249.622,1,41.3099,77.365,16.5994,-21.6908
10.4089,358.077,249.638,1,39.5841,71.3294,14.3052,-20.9489
10.8092,358.477,249.653,1,37.9452,65.2943,12.0353,-20.2413
11.2096,358.877,249.668,1,36.2198,59.3769,9.7738,-19.5687
11.6099,359.277,249.683,1,34.4308,53.5161,7.51017,-18.9042
12.0103,359.677,249.699,1,32.6418,47.6554,5.24656,-18.2398
12.4106,360.077,249.714,1,30.975,42.0806,3.10967,-17.6349
12.811,360.477,249.729,1,29.4238,36.7759,1.09255,-17.0865
13.2113,360.877,249.744,1,27.8726,31.4713,-0.924583,-16.538
13.6116,361.277,249.76,1,26.3213,26.1666,-2.94171,-15.9896
14.012,361.677,249.775,1,24.752,20.8656,-4.96409,-15.3924
14.4123,362.077,249.79,1,23.1418,15.5839,-6.99265,-14.8367
14.8126,362.478,249.805,1,21.5315,10.3017,-9.02138,-14.281
15.213,362.878,249.821,1,19.9212,5.01952,-11.0501,-13.7252
15.6133,363.278,249.836,1,18.4748,-0.378988,-13.0558,-13.1558
16.0137,363.678,249.851,1,17.11,-5.83532,-15.0501,-12.5798
16.414,364.078,249.866,1,15.7451,-11.2916,-17.0444,-12.0038
16.8144,364.478,249.882,1,14.3829,-16.7431,-19.0366,-11.4215
17.2147,364.878,249.897,1,13.0822,-22.0427,-20.9715,-10.6677
17.6151,365.278,249.912,1,11.7442,-27.2604,-22.8946,-9.89213
18.0154,365.678,249.927,1,10.4241,-32.5733,-24.8374,-9.17523
18.4157,366.078,249.942,1,9.10389,-37.8867,-26.7804,-8.45829
18.8161,366.478,249.958,1,7.78367,-43.2,-28.7234,-7.74138
19.2164,366.878,249.973,1,6.82167,-48.8865,-30.6508,-7.38778
19.6168,367.278,249.988,1,6.10587,-54.8294,-32.5676,-7.28389
20.0171,367.678,250.003,1,5.39006,-60.7723,-34.4843,-7.18001
20.4174,368.078,250.019,1,4.71625,-66.999,-36.4886,-6.49608
20.8178,368.478,250.034,1,4.04918,-73.2712,-38.5068,-5.71922
21.2181,368.878,250.049,1,3.3821,-79.5434,-40.5251,-4.94234
21.6185,369.278,250.064,1,2.71573,-85.8948,-42.5672,-4.16661
22.0188,369.678,250.08,1,2.05173,-92.5117,-44.6891,-3.39475
22.4191,370.078,250.095,1,1.38778,-99.1281,-46.811,-2.62295
22.8195,370.479,250.11,1,0.723786,-105.745,-48.933,-1.85108
23.2198,370.879,250.125,1,0.0597886,-112.362,-51.055,-1.07924
23.6202,371.279,250.141,1,-0.604209,-118.979,-53.177,-0.307381
24.0205,371.679,250.156,1,-1.26821,-125.596,-55.299,0.46448
